Team,Goals Scored,Goals Against,Opposing Team,Half-time Home Goals,Half-time Away Goals,RoundID,MatchID
Saudi Arabia,2,2,Tunisia,0,1,97410100,97410016
Poland,0,1,Germany,0,0,97410100,97410017
Costa Rica,0,3,Ecuador,0,1,97410100,97410018
Trinidad and Tobago,0,2,England,0,0,97410100,97410019
Paraguay,0,1,Sweden,0,0,97410100,97410020
Serbia and Montenegro,0,6,Argentina,0,3,97410100,97410021
Cate d'Ivoire,1,2,Netherlands,1,2,97410100,97410022
Angola,0,0,Mexico,0,0,97410100,97410023
IR Iran,0,2,Portugal,0,0,97410100,97410024
Ghana,2,0,Czech Republic,1,0,97410100,97410026
USA,1,1,Italy,1,1,97410100,97410025
Croatia,0,0,Japan,0,0,97410100,97410028
Australia,0,2,Brazil,0,0,97410100,97410027
Korea Republic,1,1,France,0,1,97410100,97410029
Switzerland,2,0,Togo,1,0,97410100,97410030
Ukraine,4,0,Saudi Arabia,2,0,97410100,97410032
Tunisia,1,3,Spain,1,0,97410100,97410031
Germany,3,0,Ecuador,2,0,97410100,97410033
Poland,2,1,Costa Rica,1,1,97410100,97410034
England,2,2,Sweden,1,0,97410100,97410035
Trinidad and Tobago,0,2,Paraguay,0,1,97410100,97410036
Angola,1,1,Iran,0,0,97410100,97410040
Mexico,1,2,Portugal,1,2,97410100,97410039
Argentina,0,0,Netherlands,0,0,97410100,97410037
Serbia and Montenegro,2,3,Cate d'Ivoire,2,1,97410100,97410038
Italy,2,0,Czech Republic,1,0,97410100,97410041
USA,1,2,Ghana,1,2,97410100,97410042
Brazil,4,1,Japan,1,1,97410100,97410043
Australia,2,2,Croatia,1,1,97410100,97410044
Tunisia,0,1,Ukraine,0,0,97410100,97410048
Spain,1,0,Saudi Arabia,1,0,97410100,97410047
France,2,0,Togo,0,0,97410100,97410045
Korea Republic,0,2,Switzerland,0,1,97410100,97410046
Sweden,0,2,Germany,0,2,97410200,97410049
Mexico,1,2,Argentina,0,0,97410200,97410050
Ecuador,0,1,England,0,0,97410200,97410051
Netherlands,0,1,Portugal,0,1,97410200,97410052
Australia,0,1,Italy,0,0,97410200,97410053
Ukraine,0,0,Switzerland,0,0,97410200,97410054
Ghana,0,3,Brazil,0,2,97410200,97410055
France,3,1,Spain,1,1,97410200,97410056
Argentina,1,1,Germany,0,0,97410300,97410057
Ukraine,0,3,Italy,0,1,97410300,97410058
Portugal,0,0,England,0,0,97410300,97410059
France,1,0,Brazil,0,0,97410300,97410060
Italy,2,0,Germany,0,0,97410400,97410061
France,1,0,Portugal,1,0,97410400,97410062
Portugal,1,3,Germany,0,0,97410500,97410063
France,1,1,Italy,0,0,97410600,97410064
Mexico,1,1,South Africa,0,0,249722,300061454
France,0,0,Uruguay,0,0,249722,300061453
Greece,0,2,Korea Republic,0,1,249722,300061459
Nigeria,0,1,Argentina,0,1,249722,300061460
USA,1,1,England,1,1,249722,300061466
Slovenia,1,0,Algeria,0,0,249722,300061465
Ghana,1,0,Serbia,0,0,249722,300061471
Australia,0,4,Germany,0,2,249722,300111116
Denmark,0,2,Netherlands,0,0,249722,300061478
Cameroon,0,1,Japan,0,1,249722,300061477
Paraguay,1,1,Italy,1,0,249722,300061484
Slovakia,1,1,New Zealand,0,0,249722,300061483
Portugal,0,0,Cate d'Ivoire,0,0,249722,300061489
Korea DPR,1,2,Brazil,0,0,249722,300061490
Chile,1,0,Honduras,1,0,249722,300061495
Switzerland,1,0,Spain,0,0,249722,300111112
Uruguay,3,0,South Africa,1,0,249722,300061452
Korea Republic,1,4,Argentina,1,2,249722,300061458
Nigeria,1,2,Greece,1,1,249722,300061457
Mexico,2,0,France,0,0,249722,300061451
Serbia,1,0,Germany,1,0,249722,300061470
USA,2,2,Slovenia,0,2,249722,300061463
Algeria,0,0,England,0,0,249722,300061464
Japan,0,1,Netherlands,0,0,249722,300111117
Australia,1,1,Ghana,1,1,249722,300061469
Denmark,2,1,Cameroon,1,1,249722,300061475
Paraguay,2,0,Slovakia,1,0,249722,300061481
New Zealand,1,1,Italy,1,1,249722,300061482
Cate d'Ivoire,1,3,Brazil,0,1,249722,300061488
Korea DPR,0,7,Portugal,0,1,249722,300061487
Switzerland,0,1,Chile,0,0,249722,300061493
Honduras,0,2,Spain,0,1,249722,300061494
Uruguay,1,0,Mexico,1,0,249722,300061450
South Africa,2,1,France,2,0,249722,300061449
Korea Republic,2,2,Nigeria,1,1,249722,300111115
Argentina,2,0,Greece,0,0,249722,300061455
England,1,0,Slovenia,1,0,249722,300061462
Algeria,0,1,USA,0,0,249722,300061461
Germany,1,0,Ghana,0,0,249722,300061468
Serbia,1,2,Australia,0,0,249722,300061467
Italy,2,3,Slovakia,0,1,249722,300061480
New Zealand,0,0,Paraguay,0,0,249722,300061479
Japan,3,1,Denmark,2,0,249722,300061474
Netherlands,2,1,Cameroon,1,0,249722,300061473
Brazil,0,0,Portugal,0,0,249722,300111111
Cate d'Ivoire,3,0,Korea DPR,2,0,249722,300061486
Spain,2,1,Chile,2,0,249722,300061491
Honduras,0,0,Switzerland,0,0,249722,300061492
Korea Republic,1,2,Uruguay,0,1,249717,300061504
Ghana,2,1,USA,0,0,249717,300061503
England,1,4,Germany,1,2,249717,300061501
Mexico,1,3,Argentina,0,2,249717,300061502
Slovakia,1,2,Netherlands,0,1,249717,300111113
Chile,0,3,Brazil,0,2,249717,300061500
Japan,0,0,Paraguay,0,0,249717,300061497
Portugal,0,1,Spain,0,0,249717,300061498
Brazil,1,2,Netherlands,1,0,249718,300061507
Ghana,1,1,Uruguay,0,0,249718,300061508
Germany,4,0,Argentina,1,0,249718,300061505
Spain,1,0,Paraguay,0,0,249718,300061506
Netherlands,3,2,Uruguay,1,1,249719,300061512
Spain,1,0,Germany,0,0,249719,300111114
Germany,3,2,Uruguay,1,1,249720,300061510
Spain,1,0,Netherlands,0,0,249721,300061509
Croatia,1,3,Brazil,1,1,255931,300186456
Cameroon,0,1,Mexico,0,0,255931,300186492
Netherlands,5,1,Spain,1,1,255931,300186510
Australia,1,3,Chile,1,2,255931,300186473
Greece,0,3,Colombia,0,1,255931,300186471
Costa Rica,3,1,Uruguay,0,1,255931,300186489
Italy,2,1,England,1,1,255931,300186513
Japan,1,2,Cate d'Ivoire,1,0,255931,300186507
Ecuador,1,2,Switzerland,1,0,255931,300186494
Honduras,0,3,France,0,1,255931,300186496
Bosnia and Herzegovina,1,2,Argentina,0,1,255931,300186477
Portugal,0,4,Germany,0,3,255931,300186475
Nigeria,0,0,IR Iran,0,0,255931,300186505
USA,2,1,Ghana,1,0,255931,300186512
Algeria,1,2,Belgium,1,0,255931,300186479
Mexico,0,0,Brazil,0,0,255931,300186509
Korea Republic,1,1,Russia,0,0,255931,300186499
Netherlands,3,2,Australia,1,1,255931,300186478
Chile,2,0,Spain,2,0,255931,300186498
Croatia,4,0,Cameroon,1,0,255931,300186453
Cate d'Ivoire,1,2,Colombia,0,0,255931,300186468
England,1,2,Uruguay,0,1,255931,300186486
Greece,0,0,Japan,0,0,255931,300186454
Costa Rica,1,0,Italy,1,0,255931,300186500
France,5,2,Switzerland,3,0,255931,300186514
Ecuador,2,1,Honduras,1,1,255931,300186463
IR Iran,0,1,Argentina,0,0,255931,300186466
Ghana,2,2,Germany,0,0,255931,300186493
Bosnia and Herzegovina,0,1,Nigeria,0,1,255931,300186511
Russia,0,1,Belgium,0,0,255931,300186481
Algeria,4,2,Korea Republic,3,0,255931,300186495
Portugal,2,2,USA,1,0,255931,300186483
Spain,3,0,Australia,1,0,255931,300186467
Chile,0,2,Netherlands,0,0,255931,300186470
Brazil,4,1,Cameroon,2,1,255931,300186472
Mexico,3,1,Croatia,0,0,255931,300186452
Uruguay,1,0,Italy,0,0,255931,300186465
England,0,0,Costa Rica,0,0,255931,300186484
Colombia,4,1,Japan,1,1,255931,300186457
Cate d'Ivoire,1,2,Greece,0,1,255931,300186455
Argentina,3,2,Nigeria,2,1,255931,300186458
IR Iran,1,3,Bosnia and Herzegovina,0,1,255931,300186464
Switzerland,3,0,Honduras,2,0,255931,300186482
France,0,0,Ecuador,0,0,255931,300186515
Germany,1,0,USA,0,0,255931,300186469
Ghana,1,2,Portugal,0,1,255931,300186476
Belgium,1,0,Korea Republic,0,0,255931,300186480
Russia,1,1,Algeria,1,0,255931,300186506
Chile,1,1,Brazil,0,0,255951,300186487
Uruguay,0,2,Colombia,0,1,255951,300186491
Nigeria,0,2,France,0,0,255951,300186462
Algeria,1,2,Germany,0,0,255951,300186460
Colombia,1,2,Brazil,0,1,255953,300186461
Germany,1,0,France,1,0,255953,300186485
Germany,7,1,Brazil,5,0,255955,300186474
Netherlands,3,0,Brazil,2,0,255957,300186502
Argentina,0,1,Germany,0,0,255959,300186501
Argentina,0,0,Netherlands,0,0,255955,300186490
Costa Rica,0,0,Netherlands,0,0,255953,300186488
Belgium,0,1,Argentina,0,1,255953,300186504
Mexico,1,2,Netherlands,0,0,255951,300186508
Greece,1,1,Costa Rica,0,0,255951,300186459
Switzerland,0,1,Argentina,0,0,255951,300186503
USA,1,2,Belgium,0,0,255951,300186497
Chile,1,1,Brazil,0,0,255951,300186487
Uruguay,0,2,Colombia,0,1,255951,300186491
Mexico,1,2,Netherlands,0,0,255951,300186508
Greece,1,1,Costa Rica,0,0,255951,300186459
Nigeria,0,2,France,0,0,255951,300186462
Algeria,1,2,Germany,0,0,255951,300186460
Switzerland,0,1,Argentina,0,0,255951,300186503
USA,1,2,Belgium,0,0,255951,300186497
Germany,1,0,France,1,0,255953,300186485
Colombia,1,2,Brazil,0,1,255953,300186461
Belgium,0,1,Argentina,0,1,255953,300186504
Costa Rica,0,0,Netherlands,0,0,255953,300186488
Germany,7,1,Brazil,5,0,255955,300186474
Argentina,0,0,Netherlands,0,0,255955,300186490
Netherlands,3,0,Brazil,2,0,255957,300186502
Argentina,0,1,Germany,0,0,255959,300186501
